Support Name, Line Number, Support Room, Room Description, Level, Support Type, Support Data Sheet, Data Page, Wrap, Approved, Fire Rating, Building, Designer
/1HFB10SV0095,/1DVF4327GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0092,/1DVF4327GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0061,/1DVF4331GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0062,/1DVF4331GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0063,/1DVF4335GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0064,/1DVF4335GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0065,/1DVF4337GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB10SV0066,/1DVF4337GL-,/1HFB1004ZL-,HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
/1HFB14SV0012,/1DVF4401GL-,/1HFB1403ZL-,HVAC Room, 14, Support Type 7 - Fire Damper Vertical Floor Support 2,45062_MWG_DR_00080_40008_Support_Type_7,5,Yes,Yes, No, 1HF Building, S. Pinnock
/1HFB14SV0013,/1DVF4401GL-,/1HFB1403ZL-,HVAC Room, 14, Support Type 9 - Vertical Duct Wall Support,45062_MWG_DR_00080_40009_Support_Type_9,1,Yes,Yes, No, 1HF Building, S. Pinnock
/1HFB14SV0031,/1DVF4402GL-,/1HFB1404ZL-,Cable deck, 14, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, S. Pinnock
