Plate Reference, East(X), North (Y), Height (Z), Support Name, Room, Level, Support Type, Dtata Sheet, Page, Fire Rated, Designer
/1HFA10SV0039/1, 552130.00, 177650.00, 4310.00, /1HFA10SV0039, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0039/2, 552130.00, 176600.00, 4310.00, /1HFA10SV0039, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 2, E, D. Rothwell
/1HFA10SV0040/1, 549600.00, 177665.00, 4310.00, /1HFA10SV0040, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA10SV0040/2, 549600.00, 176585.00, 4310.00, /1HFA10SV0040, /1HFA1005ZL-, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA10SV0056/1, 549003.00, 177740.00, 4155.00, /1HFA10SV0056, /1HFA1005ZL-, 10, Support Type 7 - Fire Damper Wall Support 3, 45062_MWG_DR_00080_40008_Support_Type_7, 3, EIS, D. Rothwell
/1HFA10SV0089/1, 548625.00, 177740.00, 1805.00, /1HFA10SV0089, /1HFA1005ZL-, 10, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, EIS, D. Rothwell
/1HFA10SV0089/2, 547835.00, 176600.00, 1805.00, /1HFA10SV0089, /1HFA1005ZL-, 10, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, EIS, D. Rothwell
/1HFA10SV0088/1, 566535.00, 154310.00, 2070.00, /1HFA10SV0088, /1HFA1004ZL-, 10, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, EIS, D. Rothwell
/1HFA10SV0088/2, 565395.00, 153515.00, 2070.00, /1HFA10SV0088, /1HFA1004ZL-, 10, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, EIS, D. Rothwell
/1HFA14SV0022/1, 565015.00, 153510.00, 6410.00, /1HFA14SV0022, /1HFA1404ZL-, 14, Support Type 7 - Fire Damper Wall Support 3, 45062_MWG_DR_00080_40008_Support_Type_7, 3, EIS, D. Rothwell
/1HFA14SV0039/1, 564290.00, 154430.00, 4810.00, /1HFA14SV0039, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, EIS, D. Rothwell
/1HFA14SV0039/2, 564290.00, 153650.00, 4810.00, /1HFA14SV0039, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, EIS, D. Rothwell
/1HFA14SV0071/1, 562990.00, 154430.00, 4810.00, /1HFA14SV0071, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, No, D. Rothwell
/1HFA14SV0071/2, 562990.00, 153650.00, 4810.00, /1HFA14SV0071, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, No, D. Rothwell
/1HFA14SV0038/1, 561415.00, 154430.00, 4810.00, /1HFA14SV0038, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, E, D. Rothwell
/1HFA14SV0038/2, 561415.00, 153650.00, 4810.00, /1HFA14SV0038, /1HFA1404ZL-, 14, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5, E, D. Rothwell
