Plate Name, Support Name, Plate Length, Plate Width, Plate Thickness, Line Number, Support Room, Room Description, Level, Support Type, Data Sheet, Sheet, Designer
/1HFA04SV0006/2, /1HFA04SV0006, 150, 300, 10, /1DVF1217GL-, /1HFA0404ZL-, Cable deck, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0005/1, /1HFA04SV0005, 260, 300, 15, /1DVF1217GL-, /1HFA0405ZL-, Cable deck  Battery Room Roof, 04, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1, D. Rothwell
/1HFA04SV0005/2, /1HFA04SV0005, 260, 300, 15, /1DVF1217GL-, /1HFA0405ZL-, Cable deck  Battery Room Roof, 04, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1, D. Rothwell
/1HFA04SV0021/1, /1HFA04SV0021, 260, 300, 15, /1DVF1217GL-, /1HFA0405ZL-, Cable deck  Battery Room Roof, 04, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1, D. Rothwell
/1HFA04SV0021/2, /1HFA04SV0021, 260, 300, 15, /1DVF1217GL-, /1HFA0405ZL-, Cable deck  Battery Room Roof, 04, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1, D. Rothwell
/1HFA04SV0004/1, /1HFA04SV0004, 260, 300, 15, /1DVF1217GL-, /1HFA0405ZL-, Cable deck  Battery Room Roof, 04, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1, D. Rothwell
/1HFA04SV0004/2, /1HFA04SV0004, 260, 300, 15, /1DVF1217GL-, /1HFA0405ZL-, Cable deck  Battery Room Roof, 04, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1, D. Rothwell
/1HFA04SV0002/1, /1HFA04SV0002, 300, 150, 10, /1DVF1217GL-, /1HFA0403ZL-, Battery Room, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0002/2, /1HFA04SV0002, 300, 150, 10, /1DVF1217GL-, /1HFA0403ZL-, Battery Room, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0061/1, /1HFA04SV0061, 300, 150, 10, /1DVF1217GL-, /1HFA0403ZL-, Battery Room, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0061/2, /1HFA04SV0061, 300, 150, 10, /1DVF1217GL-, /1HFA0403ZL-, Battery Room, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0003/1, /1HFA04SV0003, 300, 150, 10, /1DVF1217GL-, /1HFA0403ZL-, Battery Room, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0003/2, /1HFA04SV0003, 300, 150, 10, /1DVF1217GL-, /1HFA0403ZL-, Battery Room, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0001/1, /1HFA04SV0001, 300, 150, 10, /1DVF1217GL-, /1HFA0403ZL-, Battery Room, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA04SV0001/2, /1HFA04SV0001, 300, 150, 10, /1DVF1217GL-, /1HFA0403ZL-, Battery Room, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0057/1, /1HFA10SV0057, 250, 250, 15, /1DVF1301GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, D. Rothwell
/1HFA10SV0057/2, /1HFA10SV0057, 250, 250, 15, /1DVF1301GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, D. Rothwell
/1HFA10SV0087/1, /1HFA10SV0087, 250, 250, 15, /1DVF1301GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 7 - Fire Damper Wall Support 2, 45062_MWG_DR_00080_40008_Support_Type_7, 5, D. Rothwell
/1HFA10SV0087/2, /1HFA10SV0087, 250, 250, 15, /1DVF1301GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 7 - Fire Damper Wall Support 2, 45062_MWG_DR_00080_40008_Support_Type_7, 5, D. Rothwell
/1HFA10SV0001/1, /1HFA10SV0001, 250, 300, 15, /1DVF1302GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2, D. Rothwell
/1HFA10SV0075/1, /1HFA10SV0075, 300, 150, 10, /1DVF1302GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0075/2, /1HFA10SV0075, 300, 150, 10, /1DVF1302GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0060/1, /1HFA10SV0060, 300, 150, 10, /1DVF1302GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0060/2, /1HFA10SV0060, 300, 150, 10, /1DVF1302GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0059/1, /1HFA10SV0059, 300, 150, 10, /1DVF1302GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0059/2, /1HFA10SV0059, 300, 150, 10, /1DVF1302GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0058/1, /1HFA10SV0058, 300, 150, 10, /1DVF1302GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0058/2, /1HFA10SV0058, 300, 150, 10, /1DVF1302GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA10SV0069/1, /1HFA10SV0069, 300, 150, 10, /1DVF1302GL-, /1HFA1004ZL-, HV/LV Switchgear Room, 10, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
