Support Name, Line Number,Support Type, Support Data Sheet, Data Page,Room, Level, Wrap, Fire Rating, AFC, Approved, A, B, C, D, E, F
/1HFB10SV0052, /1DVF2322GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1001ZL-, 10, No, No, No, Yes, 300, 200, 675, 350, 850, 524
/1HFB10SV0054, /1DVF2322GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1001ZL-, 10, No, No, No, Yes, 200, 150, 625, 250, 760, 450
/1HFB10SV0103, /1DVF2322GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1001ZL-, 10, No, No, No, Yes, 200, 100, 675, 250, 760, 400
/1HFB10SV0053, /1DVF2322GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFB1001ZL-, 10, No, No, No, Yes, 200, 100, 765, 250, 850, 474
/1HFA10SV0015, /1DVF3311GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 650, 600, 615, 700, 1200, 750
/1HFA10SV0014, /1DVF3311GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 650, 600, 610, 700, 1195, 800
/1HFA10SV0013, /1DVF3311GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 650, 650, 610, 700, 1245, 900
/1HFA10SV0012, /1DVF3311GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1005ZL-, 10, No, No, No, Yes, 650, 650, 610, 700, 1245, 800
/1HFA10SV0011, /1DVF3311GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1005ZL-, 10, No, No, No, Yes, 650, 650, 610, 700, 1245, 720
/1HFA10SV0010, /1DVF3311GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1005ZL-, 10, No, No, No, Yes, 650, 650, 610, 700, 1245, 750
/1HFA10SV0071, /1DVF3311GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 400, 200, 680, 450, 865, 500
/1HFA10SV0022, /1DVF3311GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 550, 350, 610, 600, 945, 650
/1HFA10SV0021, /1DVF3311GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 550, 350, 610, 600, 945, 650
/1HFA10SV0020, /1DVF3311GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 550, 350, 610, 600, 945, 650
/1HFA10SV0019, /1DVF3311GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 650, 600, 615, 700, 1200, 750
/1HFA10SV0018, /1DVF3311GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 650, 600, 610, 700, 1195, 800
/1HFA10SV0017, /1DVF3311GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 650, 600, 610, 700, 1195, 800
/1HFA10SV0016, /1DVF3311GL-, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1,/1HFA1004ZL-, 10, No, No, No, Yes, 650, 600, 615, 700, 1200, 750
