Ref. No., Name, Type, Part No., Line Number, Detailed Desc., Inlet L., Inlet W., Outlet L., Outlet W., Length, Insulation, Level, Room, Room Description, Building, Penetration Reference, Material, Fire Rating, Approved for Cons/Fab
20442/68184,NA, GASK, 2, /1DVF4106GL-, Rectangular Gasket, 300, 200, 300, 200, 3, 0, 0A, /1HFB0A03ZL-, Cable Deck  Interface with 1HGU and 1HGK, 1HF Building, NA, NA, No, No
20442/68185,NA, STRT, 3, /1DVF4106GL-, Rectangular Straight, 300, 200, 300, 200, 100, 90, 0A, /1HFB0A03ZL-, Cable Deck  Interface with 1HGU and 1HGK, 1HF Building, NA, Stainless Steel 304L, No, Yes
20442/65085,NA, GASK, 4, /1DVF4106GL-, Rectangular Gasket, 300, 200, 300, 200, 3, 0, 0A, /1HFB0A03ZL-, Cable Deck  Interface with 1HGU and 1HGK, 1HF Building, NA, NA, No, No
20442/5117,/1DVF4105RA-, DAMP, 5, /1DVF4106GL-, Fire Damper, 300, 200, 300, 200, 300, 90, 0A, /1HFB0A03ZL-, Cable Deck  Interface with 1HGU and 1HGK, 1HF Building, NA, Stainless Steel 304L, No, No
20442/65084,NA, GASK, 6, /1DVF4106GL-, Rectangular Gasket, 300, 200, 300, 200, 3, 0, 0A, /1HFB0A03ZL-, Cable Deck  Interface with 1HGU and 1HGK, 1HF Building, NA, NA, No, No
20442/5118,NA, STRT, 7, /1DVF4106GL-, Rectangular Straight, 300, 200, 300, 200, 650, 90, 0A, /1HFB0A03ZL- /1HGK0A01ZL-, Cable Deck  Interface with 1HGU and 1HGK, 1HF Building, /1HFB0A07VBTV002, Stainless Steel 304L, No, Yes
20442/5118,NA, SKIR, 7, /1DVF4106GL-, Penetration Spool Plate, 300, 200, 850, 750, 6, 0, 0A, /1HFB0A03ZL-, Cable Deck  Interface with 1HGU and 1HGK, 1HF Building, /1HFB0A07VBTV002, Stainless Steel 304L, No, Yes
20442/65086,NA, GASK, 8, /1DVF4106GL-, Rectangular Gasket, 300, 200, 300, 200, 3, 0, 0A, /1HGK0A01ZL-, Unit 1: Connection between HGK and HFB, 1HGK Gallery, NA, NA, No, No
20442/68197,NA, STRT, 9, /1DVF4106GL-, Rectangular Straight, 300, 200, 300, 200, 75, 90, 0A, /1HGK0A01ZL-, Unit 1: Connection between HGK and HFB, 1HGK Gallery, NA, Stainless Steel 304L, No, Yes
20442/68198,NA, GASK, 10, /1DVF4106GL-, Rectangular Gasket, 300, 200, 300, 200, 3, 0, 0A, /1HGK0A01ZL-, Unit 1: Connection between HGK and HFB, 1HGK Gallery, NA, NA, No, No
20442/5119,/1DVF4106BW-, MESH, 11, /1DVF4106GL-, Supply Air Grille - Double Deflection with Damper, 300, 200, 300, 200, 10, 0, 0A, /1HGK0A01ZL-, Unit 1: Connection between HGK and HFB, 1HGK Gallery, NA, Extruded Aluminium, No, No
20442/6954,NA, STRT, 1, /1DVF4201GL-, Rectangular Straight, 250, 300, 250, 300, 700, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, Stainless Steel 304L, No, Yes
20442/6954,/1DVF4201GLB0001T001, BRCO, 1, /1DVF4201GL-, Rectangular Boot Branch Connector, 250, 300, 250, 300, 75, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA,  Stainless Steel 304L, No, Yes
28634/25122,NA, GASK, 2, /1DVF4201GL-, Rectangular Gasket, 250, 300, 250, 300, 3, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, NA, No, No
20442/21194,NA, STRT, 3, /1DVF4201GL-, Rectangular Straight, 250, 300, 250, 300, 1200, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, Stainless Steel 304L, No, Yes
28634/25123,NA, GASK, 4, /1DVF4201GL-, Rectangular Gasket, 250, 300, 250, 300, 3, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, NA, No, No
20442/21195,NA, STRT, 5, /1DVF4201GL-, Rectangular Straight, 250, 300, 250, 300, 1200, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, Stainless Steel 304L, No, Yes
20442/21195,/1DVF4201GLB0001T002, BRCO, 5, /1DVF4201GL-, Rectangular Boot Branch Connector, 250, 300, 250, 300, 75, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA,  Stainless Steel 304L, No, Yes
28634/25124,NA, GASK, 6, /1DVF4201GL-, Rectangular Gasket, 250, 300, 250, 300, 3, 0, 04, /1HFB0404ZL-, Cable deck, 1HF Building, NA, NA, No, No
