Flange Reference, Duct Reference, PDMS Duct Type, Line Number, Flange Height, Duct Length A (mm), Duct Width B (mm), Level
20442/56051/40C, 20442/56051, BRCO, /1DVF1217GL-, 40, 300, 300, 04
20442/56053/50A, 20442/56053, STRT, /1DVF1217GL-, 50, 350, 500, 04
20442/56053/50B, 20442/56053, STRT, /1DVF1217GL-, 50, 350, 500, 04
20442/56053/40C, 20442/56053, BRCO, /1DVF1217GL-, 40, 300, 300, 04
20442/56057/50A, 20442/56057, STRT, /1DVF1217GL-, 50, 350, 500, 04
20442/56057/50B, 20442/56057, STRT, /1DVF1217GL-, 50, 350, 500, 04
20442/56060/50A, 20442/56060, STRT, /1DVF1217GL-, 50, 500, 350, 04
20442/56060/50B, 20442/56060, STRT, /1DVF1217GL-, 50, 500, 350, 04
20442/56060/40C, 20442/56060, BRCO, /1DVF1217GL-, 40, 300, 300, 04
20442/56062/50A, 20442/56062, STRT, /1DVF1217GL-, 50, 350, 500, 04
20442/56062/40C, 20442/56062, BRCO, /1DVF1217GL-, 40, 300, 300, 04
20442/2281/50A, 20442/2281, STRT, /1DVF1301GL-, 50, 800, 750, 10
20442/2281/50B, 20442/2281, STRT, /1DVF1301GL-, 50, 800, 750, 10
20442/19038/50A, 20442/19038, STRT, /1DVF1301GL-, 50, 800, 750, 10
20442/19038/50B, 20442/19038, STRT, /1DVF1301GL-, 50, 800, 750, 10
20442/19038/50C, 20442/19038, BRCO, /1DVF1301GL-, 50, 550, 800, 10
20442/2284/50A, 20442/2284, TAPE, /1DVF1301GL-, 50, 800, 750, 10
20442/2284/50B, 20442/2284, TAPE, /1DVF1301GL-, 50, 500, 550, 10
20442/18968/50A, 20442/18968, STRT, /1DVF1301GL-, 50, 500, 550, 10
20442/18968/50B, 20442/18968, STRT, /1DVF1301GL-, 50, 500, 550, 10
20442/18969/50A, 20442/18969, STRT, /1DVF1301GL-, 50, 500, 550, 10
20442/18969/50B, 20442/18969, STRT, /1DVF1301GL-, 50, 500, 550, 10
20442/22979/50A, 20442/22979, STRT, /1DVF1302GL-, 50, 800, 550, 10
20442/22979/50B, 20442/22979, STRT, /1DVF1302GL-, 50, 800, 550, 10
20442/2338/50A, 20442/2338, STRT, /1DVF1302GL-, 50, 800, 550, 10
20442/2338/50B, 20442/2338, STRT, /1DVF1302GL-, 50, 800, 550, 10
20442/2338/40C, 20442/2338, BRCO, /1DVF1302GL-, 40, 350, 250, 10
20442/19040/50A, 20442/19040, STRT, /1DVF1302GL-, 50, 800, 550, 10
20442/19040/50B, 20442/19040, STRT, /1DVF1302GL-, 50, 800, 550, 10
20442/19046/50A, 20442/19046, TAPE, /1DVF1302GL-, 50, 800, 550, 10
20442/19046/50B, 20442/19046, TAPE, /1DVF1302GL-, 50, 800, 500, 10
20442/2341/50A, 20442/2341, STRT, /1DVF1302GL-, 50, 800, 500, 10
20442/2341/50B, 20442/2341, STRT, /1DVF1302GL-, 50, 800, 500, 10
20442/19044/50A, 20442/19044, STRT, /1DVF1302GL-, 50, 800, 500, 10
20442/19044/50B, 20442/19044, STRT, /1DVF1302GL-, 50, 800, 500, 10
20442/19044/40C, 20442/19044, BRCO, /1DVF1302GL-, 40, 800, 500, 10
20442/2343/50A, 20442/2343, STRT, /1DVF1302GL-, 50, 800, 500, 10
20442/2343/50B, 20442/2343, STRT, /1DVF1302GL-, 50, 800, 500, 10
20442/2345/50A, 20442/2345, STRT, /1DVF1302GL-, 50, 800, 500, 10
